---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:35:23 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
decoder.tcp                                                  | Total                     | 67
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 161
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 9
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 9
flow.mgr.flows_notimeout                                     | Total                     | 9
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:27 (uptime: 0d, 00h 01m 12s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 89
capture.afpacket.polls                                       | Total                     | 8326
capture.afpacket.poll_timeout                                | Total                     | 8265
capture.afpacket.poll_data                                   | Total                     | 61
decoder.pkts                                                 | Total                     | 89
decoder.bytes                                                | Total                     | 14269
decoder.ipv4                                                 | Total                     | 15
decoder.ipv6                                                 | Total                     | 72
decoder.ethernet                                             | Total                     | 89
decoder.arp                                                  | Total                     | 2
decoder.tcp                                                  | Total                     | 71
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 160
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 9
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 7
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 10
flow.mgr.flows_notimeout                                     | Total                     | 10
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:35 (uptime: 0d, 00h 01m 20s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 102
capture.afpacket.polls                                       | Total                     | 9320
capture.afpacket.poll_timeout                                | Total                     | 9251
capture.afpacket.poll_data                                   | Total                     | 69
decoder.pkts                                                 | Total                     | 102
decoder.bytes                                                | Total                     | 15768
decoder.ipv4                                                 | Total                     | 18
decoder.ipv6                                                 | Total                     | 80
decoder.ethernet                                             | Total                     | 102
decoder.arp                                                  | Total                     | 4
decoder.tcp                                                  | Total                     | 82
tcp.rst                                                      | Total                     | 3
decoder.udp                                                  | Total                     | 6
decoder.icmpv4                                               | Total                     | 8
decoder.icmpv6                                               | Total                     | 2
decoder.avg_pkt_size                                         | Total                     | 154
decoder.max_pkt_size                                         | Total                     | 1149
flow.total                                                   | Total                     | 9
flow.active                                                  | Total                     | 9
flow.tcp                                                     | Total                     | 5
flow.udp                                                     | Total                     | 2
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 1
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 6
detect.alert                                                 | Total                     | 4
app_layer.flow.ntp                                           | Total                     | 1
app_layer.flow.dns_udp                                       | Total                     | 1
app_layer.tx.dns_udp                                         | Total                     | 4
app_layer.tx.ntp                                             | Total                     | 2
flow.mgr.full_hash_pass                                      | Total                     | 8
flow.mgr.rows_per_sec                                        | Total                     | 7208
flow.spare                                                   | Total                     | 9400
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 11
flow.mgr.flows_notimeout                                     | Total                     | 11
memcap.pressure                                              | Total                     | 11
memcap.pressure_max                                          | Total                     | 11
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 7471104
tcp.reassembly_memuse                                        | Total                     | 1376256
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 9/12/2026 -- 17:36:43 (uptime: 0d, 00h 01m 28s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
